timestamp,likes,comments,shares,caption,hashtags,content_type,campaign_id
2024-01-01 00:00:00,743.0,41.0,19.0,NEW PRODUCT ALERT! 🎉 Swipe to see what got four paws up!,"#catsofinstagram, #catfood",behind_scenes,9
2024-01-01 01:00:00,678.0,39.0,51.0,The face you make when the treats come out 😻,"#kitty, #cute, #catfood, #cute",daily_life,16
2024-01-01 02:00:00,776.0,81.0,21.0,"Sleepy kitty, happy kitty... Someone loves their new bed! 💤","#meow, #fluff, #purrfect",behind_scenes,12
2024-01-01 03:00:00,1185.0,79.0,61.0,Breaking news: Nap time is essential! 😴,"#catlife, #ad, #sponsored, #fluff, #kitty",review,11
2024-01-01 04:00:00,785.0,65.0,46.0,NEW PRODUCT ALERT! 🎉 Swipe to see what got four paws up!,"#sponsored, #fluff, #sponsored",product_showcase,15
2024-01-01 05:00:00,849.0,78.0,56.0,Behind the scenes of today's photoshoot - not as easy as it looks! 📸,"#cute, #fluff, #cute",product_showcase,17
2024-01-01 06:00:00,1156.0,89.0,52.0,Quality time with our feline friend 💕,"#catsofinstagram, #sponsored, #meow",daily_life,14
2024-01-01 07:00:00,907.0,79.0,52.0,Meet our adorable model testing the new Premium Cat Feast! 😺 #sponsored,"#meow, #cute, #ad",behind_scenes,10
2024-01-01 08:00:00,758.0,96.0,54.0,NEW PRODUCT ALERT! 🎉 Swipe to see what got four paws up!,"#meow, #fluff, #fluff, #purrfect",daily_life,7
2024-01-01 09:00:00,850.0,72.0,58.0,Behind the scenes of today's photoshoot - not as easy as it looks! 📸,"#catfood, #catsofinstagram, #ad, #catlife, #cute",daily_life,17
2024-01-01 10:00:00,664.0,108.0,37.0,"Sleepy kitty, happy kitty... Someone loves their new bed! 💤","#catsofinstagram, #meow, #catsofinstagram",behind_scenes,11
2024-01-01 11:00:00,533.0,51.0,54.0,Behind the scenes of today's photoshoot - not as easy as it looks! 📸,"#purrfect, #catlife, #kitty, #catsofinstagram",cute_moment,16
2024-01-01 12:00:00,613.0,74.0,23.0,Breaking news: Nap time is essential! 😴,"#purrfect, #catlife, #catfood",behind_scenes,20
2024-01-01 13:00:00,153.0,88.0,32.0,Weekend vibes with our favorite furry friend 🐱,"#purrfect, #catfood, #catfood",daily_life,13
2024-01-01 14:00:00,176.0,20.0,44.0,"Sleepy kitty, happy kitty... Someone loves their new bed! 💤","#sponsored, #catlife",cute_moment,6
2024-01-01 15:00:00,368.0,37.0,46.0,"Sleepy kitty, happy kitty... Someone loves their new bed! 💤","#catlife, #catsofinstagram",daily_life,18
2024-01-01 16:00:00,191.0,60.0,31.0,Behind the scenes of today's photoshoot - not as easy as it looks! 📸,"#purrfect, #catfood",daily_life,6
